ID,Location_ID,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,
ABC123,123456,2020,22.3,23.4,22.1,20.9,18.7,16.5,15.8,17.2,18.4,19.8,21.1,22.7,
ABC123,123456,2021,23.1,22.9,22.2,20.8,19.4,17.8,16.4,17.5,19.1,20.5,22.1,23.6,
ABC123,123456,2020,21.8,22.9,21.6,20.3,18.2,16.2,15.5,16.9,18.3,19.7,21.1,22.5,
ABC123,123456,2021,22.6,22.4,21.9,20.6,19.1,17.5,16.1,17.2,18.9,20.2,21.8,23.2,
ABC123,123456,2020,23.5,24.6,23.3,21.8,19.5,17.3,16.6,17.9,19.3,20.7,22.2,23.8,
ABC123,123456,2021,22.9,22.7,21.8,20.5,19.1,17.4,15.9,17.0,18.6,20.0,21.5,23.0,
ABC123,123456,2020,22.1,23.2,21.9,20.4,18.3,16.3,15.6,17.0,18.4,19.8,21.2,22.6,
ABC123,123456,2021,22.3,22.1,21.5,20.1,18.7,17.1,16.0,17.1,18.8,20.1,21.7,23.1,
ABC123,123456,2020,23.0,24.1,22.8,21.5,19.3,17.2,16.4,17.8,19.2,20.6,22.0,23.6,
ABC123,123456,2021,23.4,23.2,22.5,21.1,19.7,18.1,16.7,17.8,19.4,20.8,22.4,23.9,
ABC123,123456,2022,22.8,23.7,22.5,21.0,18.9,16.7,16.0,17.4,18.7,20.1,21.5,23.0,
ABC123,123456,2023,23.2,23.1,22.3,20.9,19.4,17.9,16.5,17.6,19.2,20.6,22.1,23.6,
ABC123,123456,2024,22.6,22.4,21.7,20.4,18.9,17.3,15.9,17.0,18.6,20.0,21.5,23.0,
ABC123,123456,2025,23.0,23.8,22.6,21.2,19.1,17.0,16.2,17.5,19.0,20.5,21.9,23.5,
ABC123,123456,2026,22.4,23.2,22.0,20.5,18.7,16.8,15.5,16.8,18.3,19.7,21.2,22.8,
ABC123,123456,2027,23.5,23.4,22.7,21.3,19.6,17.9,16.4,17.3,18.9,20.3,21.9,23.4,
ABC123,123456,2028,22.7,23.5,22.3,20.8,18.7,16.8,15.7,17.0,18.4,19.9,21.4,22.9,
ABC123,123456,2029,23.1,22.9,22.2,20.6,19.0,17.4,16.2,17.5,19.1,20.4,21.8,23.3,
ABC123,123456,2030,22.5,23.3,22.1,20.7,18.8,17.0,15.8,16.9,18.5,19.8,21.3,22.8,
ABC123,123456,2031,23.3,24.1,23.0,21.4,19.5,17.7,16.4,17.3,18.8,20.3,21.7,23.3
